"FacilityID","FacilityCode","FacilityName","Location","ContactNumber"
1,"KNRH","Kiruddu National Referral Hospital","Kiruddu",
2,"MNRH","Mulago National Referral Hospital","Mulago",
3,"MbRRH","Mbale Regional Referral Hospital","Mbale",
4,"MbarRRH","Mbarara Regional Referral Hospital","Mbarara",
5,"",,,"0"
